filename,nose_x,nose_y,nose_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no,class_name
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3737.PNG,0.5510156154632568,0.4016796350479126,1.0,0.568684458732605,0.43982747197151184,0.9999995231628418,0.4351194500923157,0.4356434941291809,0.9999988079071045,0.6623329520225525,0.448013573884964,0.9986617565155029,0.335152268409729,0.4382146894931793,0.9998760223388672,0.7476755380630493,0.4487735331058502,0.9993682503700256,0.23771588504314423,0.4317569136619568,0.9996153116226196,0.536410927772522,0.535123348236084,0.9999905824661255,0.45620590448379517,0.5367604494094849,0.9999890327453613,0.6843491792678833,0.5535995364189148,0.9992640614509583,0.33820271492004395,0.5830180644989014,0.9998750686645508,0.6974921226501465,0.6303233504295349,0.99620121717453,0.21991963684558868,0.6384171843528748,0.999225378036499,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3910.PNG,0.5462717413902283,0.4137093126773834,1.0,0.552415668964386,0.4476853907108307,0.9999996423721313,0.44568413496017456,0.4416534900665283,0.9999990463256836,0.6415001749992371,0.45718932151794434,0.9958204030990601,0.3483084440231323,0.4443698227405548,0.999790370464325,0.724730908870697,0.4636423885822296,0.9981905817985535,0.25558823347091675,0.4406066834926605,0.9989748001098633,0.5302659273147583,0.5370351076126099,0.9999924898147583,0.4585998058319092,0.5374476313591003,0.9999914169311523,0.667182207107544,0.5602285265922546,0.9923239946365356,0.34717345237731934,0.5823444128036499,0.999687910079956,0.6825577020645142,0.6361688375473022,0.9801241159439087,0.23237678408622742,0.6382018327713013,0.998024582862854,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3877 (1).PNG,0.5352700352668762,0.4146695137023926,0.9999990463256836,0.5560786128044128,0.4475475251674652,0.9999955892562866,0.43417981266975403,0.4465126097202301,0.9999892711639404,0.6567726135253906,0.4550764262676239,0.9957633018493652,0.33288663625717163,0.44703567028045654,0.999468982219696,0.749860405921936,0.4602654278278351,0.9971959590911865,0.23529258370399475,0.44552555680274963,0.9983522891998291,0.533627450466156,0.5375054478645325,0.9999604225158691,0.4530905783176422,0.5378293395042419,0.9999520778656006,0.6788394451141357,0.5619239807128906,0.9933358430862427,0.33373987674713135,0.5849685668945312,0.9981825351715088,0.7049601674079895,0.6405764818191528,0.9832825064659119,0.21566030383110046,0.6376867294311523,0.9903856515884399,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3938.PNG,0.5492671132087708,0.36587783694267273,0.9999998807907104,0.5625874996185303,0.4020460247993469,0.9999995231628418,0.4341634213924408,0.39804553985595703,0.9999978542327881,0.669408917427063,0.4132060408592224,0.9980849027633667,0.3304777145385742,0.40412238240242004,0.9997078776359558,0.769008219242096,0.41501230001449585,0.9983264803886414,0.22774887084960938,0.4008672833442688,0.9987037181854248,0.541091799736023,0.498752623796463,0.9999916553497314,0.4576217234134674,0.49842002987861633,0.9999878406524658,0.6803677082061768,0.5350772738456726,0.9971996545791626,0.3403247594833374,0.5576165914535522,0.999158501625061,0.6786432862281799,0.6206960082054138,0.986955463886261,0.2299736589193344,0.6213221549987793,0.9961737990379333,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3760 (1).PNG,0.5194783210754395,0.39921873807907104,0.9999992847442627,0.5763724446296692,0.4389446973800659,0.9999932050704956,0.4262806177139282,0.44087114930152893,0.9999938011169434,0.6754662394523621,0.4409724473953247,0.9977994561195374,0.3279135823249817,0.4463258385658264,0.9997751116752625,0.7637726068496704,0.4372127950191498,0.9984246492385864,0.23132678866386414,0.4464060366153717,0.9996492862701416,0.5384665727615356,0.533401608467102,0.9999843835830688,0.44908568263053894,0.5365018844604492,0.9999856948852539,0.6825956106185913,0.5515393018722534,0.9994982481002808,0.3387101888656616,0.5850047469139099,0.999188244342804,0.7106400728225708,0.6304327249526978,0.9967845678329468,0.2309948056936264,0.6383978724479675,0.9985777139663696,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3657.PNG,0.5437881350517273,0.41552966833114624,0.9999997615814209,0.5639868974685669,0.4530510902404785,0.9999980926513672,0.43922755122184753,0.44747689366340637,0.9999959468841553,0.654621958732605,0.45641082525253296,0.9986140727996826,0.34312987327575684,0.4467603862285614,0.9998501539230347,0.7364482283592224,0.45528852939605713,0.9993178844451904,0.2498270869255066,0.441648930311203,0.9996492862701416,0.5383153557777405,0.5413380861282349,0.9999852180480957,0.45974794030189514,0.5427891612052917,0.9999817609786987,0.662642240524292,0.5744879245758057,0.9990384578704834,0.3543741703033447,0.5892959833145142,0.9997742772102356,0.7072255611419678,0.6467065811157227,0.9985840320587158,0.250225305557251,0.6454673409461975,0.9990079998970032,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3864.PNG,0.5268323421478271,0.4147367775440216,0.999998927116394,0.5520559549331665,0.4471941292285919,0.9999898672103882,0.4308236241340637,0.44726788997650146,0.9999715089797974,0.6587116718292236,0.4512099623680115,0.9925373196601868,0.32987141609191895,0.4510836899280548,0.9979174733161926,0.7578242421150208,0.4530009627342224,0.9966688752174377,0.22475948929786682,0.4524300992488861,0.9921785593032837,0.5342660546302795,0.536767303943634,0.9999003410339355,0.45332708954811096,0.537922203540802,0.9998788833618164,0.6781476736068726,0.5585532784461975,0.98414546251297,0.3293410539627075,0.5874083638191223,0.9913488030433655,0.712470531463623,0.6410977840423584,0.9421213269233704,0.21592414379119873,0.6422377824783325,0.9617967009544373,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3870.PNG,0.5306482911109924,0.41369932889938354,0.9999982118606567,0.5571091175079346,0.4479101002216339,0.9999861717224121,0.43262484669685364,0.4474855065345764,0.9999779462814331,0.6581692695617676,0.45298194885253906,0.9918702840805054,0.3271854519844055,0.44946998357772827,0.9993298053741455,0.7551783323287964,0.4564569592475891,0.9961307048797607,0.22694872319698334,0.44979891180992126,0.998047947883606,0.5360963940620422,0.5385854840278625,0.9999058246612549,0.45128941535949707,0.5399424433708191,0.999903678894043,0.683854877948761,0.5584286451339722,0.994390070438385,0.3315644860267639,0.5864646434783936,0.9967238306999207,0.7124394774436951,0.6400076746940613,0.9776851534843445,0.21365532279014587,0.6382027268409729,0.9848365187644958,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3858.PNG,0.5149068832397461,0.4131452441215515,0.9999985694885254,0.5484945178031921,0.4452797770500183,0.9999806880950928,0.434090256690979,0.45015949010849,0.9999744892120361,0.6300681233406067,0.4455282986164093,0.996751070022583,0.35794609785079956,0.45769765973091125,0.9967503547668457,0.711316704750061,0.4439695477485657,0.9974498152732849,0.2752876281738281,0.46193748712539673,0.9970009922981262,0.5298301577568054,0.5356533527374268,0.9999489784240723,0.4541453421115875,0.5387272238731384,0.9999412298202515,0.6411179304122925,0.5552798509597778,0.9998235106468201,0.3643800616264343,0.5897234082221985,0.998145580291748,0.6763805150985718,0.6392518877983093,0.9978674650192261,0.27913326025009155,0.6422418355941772,0.9973837733268738,1,good
/Users/balkiratpadda/Documents/Winter 2023/Capstone/warrior_pose/warrior_test_train/train//good/IMG_3681.PNG,0.5337980389595032,0.41338059306144714,0.9999992847442627,0.5731172561645508,0.4491921365261078,0.9999953508377075,0.4304373264312744,0.4486899673938751,0.9999948740005493,0.6706909537315369,0.44921502470970154,0.998788058757782,0.32886552810668945,0.45246440172195435,0.9998866319656372,0.75827956199646,0.4462088942527771,0.9991781115531921,0.23225942254066467,0.4504832625389099,0.9997628331184387,0.5354409217834473,0.5408724546432495,0.999980092048645,0.44881466031074524,0.5425667762756348,0.9999816417694092,0.6718448996543884,0.5665304064750671,0.999767005443573,0.34198886156082153,0.5911235809326172,0.9998310804367065,0.7162840366363525,0.6441410779953003,0.9985999464988708,0.2330576777458191,0.6487090587615967,0.9993879795074463,1,good
